,Symbol,Open,High,Low,Close,Volume,Market Cap
126,BTC,4285499.54,4422130.57,4133351.88,4291620.04,2679363918536.0,70614649099116.0
293,ETH,246148.647596,256063.081104,234758.799014,246280.619429,926895884274.0,23914348163415.0
849,XRP,287.926755,305.618803,269.80949,288.491187,347146056798.0,11026216962989.0
73,BCH,428671.67,456206.65,400971.82,428475.14,346056027550.0,7210628624444.0
284,EOS,2911.635886,3080.862536,2725.023072,2914.776015,267377061852.0,2174155987482.0
458,LTC,60399.88,63201.38,57293.36,60435.16,260554777058.0,3150877495697.0
292,ETC,9896.740351,10432.667408,9335.080703,9903.298677,134646195768.0,972571071793.0
744,TRX,14.137706,15.313191,12.906261,14.141426,107322755286.0,930264953420.0
628,QTUM,8002.96,8548.91,7395.82,7997.93,96410009862.0,580960955791.0
520,NEO,22981.869916,24344.148978,21354.048599,22987.044012,65296667470.0,1460701104790.0
19,ADA,82.55773,88.03083,76.254749,82.580064,62847680662.0,2139975644677.0
223,DASH,206854.477915,216811.863309,196040.053092,206987.315978,61001974327.0,1606367838494.0
831,XLM,99.536875,105.86287,92.850544,99.761885,42381620638.0,1767007297051.0
489,MIOTA,614.927786,655.835338,567.467854,614.510151,41485181678.0,1709240537142.0
871,ZEC,162066.57,174467.69,147701.41,157999.82,38887010022.0,420295819020.0
838,XMR,83050.112771,87306.203729,78326.771604,83140.939341,35242949694.0,1290545030933.0
862,XVG,16.589932,18.349802,14.908102,16.588102,26715318135.0,243364696433.0
134,BTG,37626.26,40721.21,34347.65,37144.36,23249818786.0,525475257606.0
372,HC,4251.15,4588.2,3882.08,4231.99,21037962822.0,166853400769.0
182,CKUSD,166.698367,169.433985,163.535295,166.617167,20648735964.0,42240390960.0
383,HT,644.19,672.7,611.07,644.47,18637051844.0,45244039099.0
401,ICX,964.50656,1041.00454,874.691931,964.698029,16800969488.0,348531529730.0
140,BTS,107.818214,115.07485,99.720794,107.877816,16707454811.0,279661565131.0
557,ONT,843.26,895.34,787.35,842.3,16486306556.0,114604088308.0
824,XEM,167.307105,178.111289,154.767207,167.160049,15733154503.0,1505577541517.0
136,BTM,140.702036,148.918647,131.381411,140.756992,14817801696.0,137640461984.0
456,LSK,4529.322959,4863.142952,4195.535304,4530.65139,14029174516.0,506235872359.0
658,SC,7.261385,7.846163,6.653921,7.262949,11353091027.0,231312610647.0
544,NXT,114.886082,124.919556,105.222313,115.014831,11277490926.0,114780291995.0
246,DOGE,2.156095,2.292925,2.021994,2.161694,11185043250.0,233639360386.0
798,WAVES,2613.648931,2764.9948,2442.559904,2611.637591,9774255918.0,264140286966.0
706,STRAT,2897.782396,3107.854666,2666.9034,2899.510503,8209201121.0,286157328441.0
513,NANO,2122.214779,2313.618857,1888.391347,2120.666253,7741144460.0,282616422405.0
236,DGB,14.639667,15.84744,13.460219,14.665047,7123609849.0,142035817424.0
704,STEEM,1230.19238,1325.713402,1125.734516,1229.176002,6336010065.0,280686473703.0
515,NAS,1698.27,1804.97,1562.49,1698.16,5923465635.0,66324776940.0
280,EMC2,128.070746,141.100254,113.921778,127.932802,4660726625.0,27654147120.0
71,BCD,3793.4,4307.13,3300.4123720000002,3728.46,4539731900.0,104034806538.0
273,ELA,7785.2699999999995,8216.55,7246.76,7749.71,4456357712.0,40290390470.0
367,GXS,1450.021922,1561.39,1346.717387,1446.455019,4292150156.0,81949951720.0
362,GRS,306.984394,330.872045,279.069713,306.354627,4178264520.0,21355545478.0
638,RDD,2.278419,2.49358,2.071054,2.281256,4151816613.0,65420119877.0
75,BCN,1.720188,1.8743130000000001,1.578919,1.738067,4141512328.0,315591985389.0
18,ACT,83.14195600000001,89.922279,74.925468,82.841454,4003962296.0,39164401634.0
42,ARDR,173.537177,187.562134,159.212121,173.273763,3696636018.0,177685313354.0
603,PPC,2476.038205,2624.781647,2330.329868,2475.459091,3257674840.0,56997142814.0
306,FCT,11993.821616,12864.850234,11081.665161,11989.603633,3174808043.0,105158714030.0
531,NMC,2601.347976,2775.313871,2434.074375,2602.099376,2815184300.0,30021800421.0
519,NEBL,2925.196452,3257.118288,2653.053505,2926.757868,2793493704.0,38218138643.0
656,SBD,1503.798031,1656.3510430000001,1375.327455,1499.878983,2786586428.0,27806710086.0
792,VTC,1397.01822,1516.263566,1282.948995,1396.475033,2760880932.0,49774168474.0
803,WICC,188.833469,202.14007999999998,174.32342,188.067236,2740715712.0,48252822044.0
828,XIN,5.943622,6.535239,5.321256,5.931633,2645796291.0,89698712568.0
324,FTC,160.175039,175.143367,145.827363,159.572722,2640770687.0,17074463142.0
821,XDN,4.467178,4.948245,4.03074,4.483249,2620043602.0,30789781654.0
296,ETP,1135.8729,1228.527752,1039.66508,1129.185029,2494520028.0,46047311378.0
542,NVC,5938.227748,6322.739364,5590.652575,5937.650859,2481471729.0,7085848175.0
715,SYS,152.278235,163.813029,140.271204,152.540477,2458291760.0,80611563569.0
869,ZCL,11386.716468999999,12747.882853000001,9881.950694,11377.936809,2332159761.0,34463186293.0
735,TRC,179.705487,198.146221,161.537225,179.211792,2303075217.0,2101139258.0
318,FRC,17.400432,20.378918,15.110623,17.392068,2256769473.0,2567375819.0
491,MNC,103.192729,124.019877,88.049789,103.129793,2228909215.0,1442868691.0
124,BTB,21049.525414,25559.835055,18061.996794,21004.943082,2198992932.0,463612936.0
498,MONA,1679.789668,1801.597038,1567.7774,1680.880461,2166871587.0,93510013643.0
566,PAI,49.251131,52.275852,44.787633,48.142837,2135768490.0,21120195480.0
48,ARK,1275.68101,1373.157959,1175.59964,1276.016887,2134093651.0,127190051509.0
801,WDC,66.03122,73.580783,57.849179,65.881858,2123957004.0,4160620129.0
797,WAN,628.771096,663.63609,590.255969,625.711507,2074058018.0,64494467051.0
417,IXC,102.998755,116.340109,91.035734,103.052085,2057848009.0,2102059400.0
428,KMD,1378.467321,1479.288248,1264.771929,1376.777369,2048474020.0,142827959815.0
842,XPM,990.531642,1075.478526,912.769609,990.753646,2017200347.0,12149129873.0
237,DGC,65.295961,73.283754,57.257965,65.251624,1941862198.0,1331335678.0
402,IFC,0.06629412,0.07521289,0.05789909,0.06627033,1913358843.0,72538348472.0
865,XZC,14968.632712,16017.22497,13900.614465999999,14974.915191,1901810994.0,60021005064.0
587,PIVX,1939.361755,2080.749042,1792.459306,1937.465272,1886115019.0,107435640083.0
227,DCR,28840.04508,30613.216868,27037.79406,28882.32788,1844715356.0,194477409809.0
342,GLD,82.24956,90.34217,74.736527,82.281828,1839183784.0,3251397687.0
769,USNBT,1301.236722,1360.419069,1266.273195,1300.271497,1768478597.0,8044127029.0
481,MEC,141.354184,158.143848,125.651897,141.447419,1755230682.0,3687945332.0
618,PXC,7.653313,8.940225,6.5802,7.658014,1620621671.0,8458145304.0
774,VET,0.781436,0.823264,0.731212,0.779768,1595889820.0,43334170970.0
651,RVR,75.710686,84.045891,67.599017,75.09949,1585652911.0,15100784250.0
516,NAV,522.179746,570.67556,477.438517,523.017906,1563227642.0,32507376623.0
323,FST,6.276609,7.461105,5.44153,6.283739,1513753753.0,948707299.0
33,ANC,1321.579756,1540.023094,1142.615614,1327.360778,1482248586.0,1913131558.0
809,XAS,309.382966,337.432849,280.85082,309.13349,1445010535.0,29260259831.0
165,CBX,1376.184862,1567.208982,1221.939328,1378.5523,1357034224.0,1359340650.0
328,GAME,1068.867,1149.069707,989.674276,1068.435581,1343082792.0,68077014050.0
44,ARG,65.961965,78.852539,57.710561,65.884776,1337698352.0,326520621.0
543,NXS,1038.548608,1140.159557,942.714565,1038.916876,1262848000.0,62838022422.0
626,QRK,24.624293,27.081537,21.628083,24.467581,1231725510.0,6140262126.0
775,VIA,896.842919,975.894322,823.467819,895.006928,1115838875.0,20329328157.0
878,ZET,13.798027,15.425893,12.30322,13.812704,1107627147.0,2251457926.0
65,BAY,26.312788,29.238762,23.619263,26.33054,1100190865.0,26560054146.0
682,SLS,16063.574775,17753.491732,14501.678826,16083.840888,1056409082.0,22917355252.0
445,LET,10.685081,11.387787,9.910274,10.535838,1010110655.0,14702404145.0
175,CHAT,24.9419,26.788213,22.965292,24.633855,1008097332.0,59338308552.0
281,EMD,6.670012,7.462975,5.887678,6.677187,985666133.0,4096827356.0
548,OC,1.241153,1.336705,1.11058,1.223929,984420347.0,59881966008.0
596,POA,63.841994,67.756236,59.113344,63.277295,982047032.0,13569207897.0
148,BURST,10.023199,10.961513,9.152167,10.038765,978691677.0,25158948347.0
551,OF,0.357814,0.382995,0.327143,0.354182,946814534.0,61372803336.0
552,OK,103.250008,114.009521,93.589515,103.376716,893005977.0,7559859190.0
438,LBC,189.039909,209.750002,169.905552,188.486732,885137884.0,21115939877.0
295,ETN,13.924522,15.289064,12.497463,13.853658,882631431.0,79587040924.0
642,RISE,119.380264,135.805932,105.32999099999999,119.397525,875979745.0,13676817915.0
99,BLK,190.411571,206.976697,176.071183,190.337049,861741605.0,14501462461.0
748,TTT,7.587198,8.06015,7.035117,7.484849,856327859.0,16056830391.0
874,ZEN,10852.65,11705.1,10008.1,10852.0,829090571.0,37260899479.0
788,VRC,301.512578,335.499322,274.259793,302.015575,813008683.0,9114072618.0
678,SKY,5292.382115,5765.48,4789.128972,5299.231333,744076073.0,41234155648.0
411,ION,897.922216,983.37994,816.364313,894.513148,740996589.0,16509529727.0
213,CSC,31.337471,38.454541,25.943824,31.830866,735691538.0,21765893756.0
279,EMC,1234.550225,1325.753703,1150.741373,1235.90697,730355307.0,50752049559.0
52,ATB,153.416123,171.311382,135.51745400000001,152.394365,714158939.0,10008821083.0
602,POT,68.985882,75.06532,63.655541,69.012743,670286930.0,14883291521.0
